epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2081.81,0.39444,0.41633,0.9526,0.89556,0.89495,0.92315,0.84636,0.39086,0.43296,0.88016,0.000277679,0.000277679,0.000277679
57,2121.18,0.38023,0.42107,0.94574,0.89306,0.88513,0.91644,0.84116,0.38387,0.44537,0.87729,0.00026,0.00026,0.00026
58,2156.86,0.38666,0.42801,0.95063,0.88609,0.89767,0.92086,0.84,0.39078,0.43423,0.88987,0.000242321,0.000242321,0.000242321
59,2192.17,0.3863,0.41255,0.94964,0.902,0.89593,0.92384,0.84716,0.38228,0.42895,0.88261,0.000224643,0.000224643,0.000224643
60,2227.85,0.38169,0.43017,0.94981,0.88485,0.90842,0.92506,0.85054,0.37789,0.41698,0.87833,0.000206964,0.000206964,0.000206964
61,2263.54,0.2976,0.36669,0.9114,0.87167,0.92322,0.92106,0.84943,0.36009,0.42305,0.86631,0.000189286,0.000189286,0.000189286
62,2297.06,0.28393,0.32576,0.91004,0.88697,0.90681,0.92256,0.85189,0.36505,0.41315,0.87006,0.000171607,0.000171607,0.000171607
63,2331.5,0.27999,0.32903,0.90584,0.88927,0.91037,0.92481,0.85465,0.35824,0.41372,0.86284,0.000153929,0.000153929,0.000153929
64,2369.22,0.27189,0.32136,0.90119,0.87687,0.89959,0.92085,0.85129,0.3589,0.43327,0.8637,0.00013625,0.00013625,0.00013625
65,2403.47,0.27316,0.31825,0.89954,0.86923,0.91434,0.9193,0.85379,0.35829,0.42026,0.86314,0.000118571,0.000118571,0.000118571
66,2436.48,0.26843,0.31333,0.90295,0.88295,0.89792,0.92069,0.85494,0.35808,0.41445,0.86587,0.000100893,0.000100893,0.000100893
67,2469.53,0.25321,0.30083,0.88522,0.89512,0.88358,0.92231,0.8531,0.35041,0.41012,0.85949,8.32143e-05,8.32143e-05,8.32143e-05
68,2504.24,0.24931,0.29498,0.87865,0.875,0.90136,0.92175,0.85294,0.34651,0.41295,0.85947,6.55357e-05,6.55357e-05,6.55357e-05
69,2539.35,0.25411,0.28881,0.88757,0.87449,0.90366,0.92266,0.85814,0.34326,0.4097,0.85885,4.78571e-05,4.78571e-05,4.78571e-05
70,2574.38,0.25089,0.28529,0.88436,0.86968,0.90484,0.92279,0.85901,0.34342,0.40863,0.86101,3.01786e-05,3.01786e-05,3.01786e-05
